               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  61,            0.052429,            0.025465,           0.0064123,             0.64357,             0.58578,             0.58931,             0.28622,            0.050185,            0.015976,            0.011837,           0.0091406,           0.0091406,           0.0091406
                  62,            0.052774,            0.027292,           0.0071131,             0.75403,             0.36457,             0.48134,             0.21365,            0.051457,            0.015508,            0.015423,           0.0091127,           0.0091127,           0.0091127
                  63,            0.051946,            0.025566,           0.0073725,             0.76213,             0.42194,             0.53387,             0.24049,            0.049979,            0.015826,           0.0082475,           0.0090844,           0.0090844,           0.0090844
                  64,            0.051425,            0.025395,           0.0059633,             0.75917,             0.48136,             0.55459,             0.24326,            0.049839,            0.015578,            0.014762,           0.0090557,           0.0090557,           0.0090557
                  65,            0.052088,             0.02686,           0.0062882,             0.68292,             0.50168,             0.56105,             0.27439,            0.045788,            0.014971,            0.010613,           0.0090266,           0.0090266,           0.0090266
                  66,            0.051617,            0.025555,           0.0065895,             0.87761,             0.41959,             0.57053,             0.25834,              0.0484,            0.014498,            0.014972,           0.0089972,           0.0089972,           0.0089972
                  67,            0.051769,            0.026608,           0.0063031,              0.7665,             0.42582,             0.53827,             0.25441,            0.047228,            0.014631,            0.012982,           0.0089673,           0.0089673,           0.0089673
                  68,            0.050628,            0.025255,           0.0066986,             0.75346,             0.48057,             0.57012,             0.29212,            0.046778,            0.015695,            0.010587,           0.0089371,           0.0089371,           0.0089371
                  69,            0.050013,            0.025178,           0.0062793,             0.67302,             0.54258,             0.56484,             0.28646,            0.047484,            0.014359,            0.012472,           0.0089065,           0.0089065,           0.0089065
                  70,            0.051396,            0.025861,           0.0065645,             0.63399,             0.53434,             0.55356,             0.26355,            0.046662,            0.015539,           0.0098601,           0.0088755,           0.0088755,           0.0088755
                  71,            0.049518,            0.026259,            0.005767,             0.84636,             0.49313,             0.61342,             0.25569,            0.048564,            0.014601,            0.012323,           0.0088442,           0.0088442,           0.0088442
                  72,            0.049424,            0.025242,           0.0054473,              0.7439,              0.5478,             0.59453,               0.301,            0.045956,            0.015032,            0.009194,           0.0088124,           0.0088124,           0.0088124
                  73,            0.052043,            0.026332,           0.0059699,             0.78633,             0.51667,             0.58482,             0.24227,            0.050592,            0.014221,           0.0094998,           0.0087804,           0.0087804,           0.0087804
                  74,            0.048983,            0.024464,           0.0062355,             0.62507,             0.45856,             0.51754,             0.26339,            0.048268,            0.015541,            0.012705,           0.0087479,           0.0087479,           0.0087479
                  75,            0.050034,            0.024849,           0.0058924,             0.77545,             0.49501,             0.57999,             0.28056,            0.047309,            0.014849,            0.010888,           0.0087151,           0.0087151,           0.0087151
                  76,            0.049527,            0.025234,           0.0053116,             0.82553,             0.50179,              0.6134,             0.28229,            0.044996,            0.015897,             0.01107,            0.008682,            0.008682,            0.008682
                  77,            0.049716,            0.025538,            0.006549,             0.74774,             0.54625,             0.59387,             0.30375,            0.045069,            0.015601,            0.011959,           0.0086485,           0.0086485,           0.0086485
                  78,             0.04803,            0.024511,           0.0061588,             0.64969,             0.52656,             0.56914,             0.27539,            0.046357,            0.014963,            0.014631,           0.0086146,           0.0086146,           0.0086146
                  79,            0.047936,            0.025458,           0.0057651,             0.85085,             0.46338,             0.58538,             0.31602,            0.042794,            0.015219,           0.0093757,           0.0085805,           0.0085805,           0.0085805
                  80,            0.048781,            0.024701,            0.005877,             0.86842,             0.51969,             0.60894,             0.33558,            0.045165,            0.014681,            0.014482,           0.0085459,           0.0085459,           0.0085459
                  81,            0.048367,            0.024981,           0.0066926,             0.68118,             0.54644,             0.59725,             0.32992,            0.044802,            0.014884,            0.014904,           0.0085111,           0.0085111,           0.0085111
                  82,            0.048425,            0.023978,           0.0053669,             0.62177,             0.56319,             0.58584,             0.30148,            0.047175,            0.015139,            0.013356,           0.0084759,           0.0084759,           0.0084759
                  83,            0.049959,            0.025694,           0.0049352,             0.64338,             0.45694,             0.50383,             0.22665,            0.047475,            0.015233,            0.012562,           0.0084404,           0.0084404,           0.0084404
                  84,            0.049082,            0.026041,            0.005282,             0.70176,             0.56777,             0.63655,             0.33743,            0.043467,            0.014453,            0.012752,           0.0084046,           0.0084046,           0.0084046
                  85,            0.048468,            0.024433,           0.0047666,             0.86616,              0.5546,              0.6395,             0.32867,            0.043444,            0.014074,            0.010921,           0.0083684,           0.0083684,           0.0083684
                  86,            0.046863,            0.024043,           0.0049997,             0.78179,             0.57077,              0.6438,              0.2981,            0.042949,            0.014415,            0.014035,           0.0083319,           0.0083319,           0.0083319
                  87,            0.047429,            0.025764,           0.0049976,             0.68236,             0.52747,              0.6004,             0.31381,            0.044046,            0.014325,            0.010374,           0.0082952,           0.0082952,           0.0082952
                  88,            0.047741,            0.024715,           0.0050667,             0.77298,             0.54071,             0.62852,              0.3522,            0.040966,            0.013993,             0.01202,           0.0082581,           0.0082581,           0.0082581
                  89,            0.048413,            0.023894,           0.0050066,             0.68137,             0.59257,             0.62036,             0.31853,            0.043938,             0.01414,            0.011395,           0.0082207,           0.0082207,           0.0082207
                  90,            0.047585,            0.025677,           0.0066103,             0.86473,             0.56105,             0.67174,             0.33583,            0.043541,            0.014144,            0.013774,            0.008183,            0.008183,            0.008183
                  91,            0.045702,            0.023285,           0.0057167,             0.83408,             0.59386,              0.6791,             0.36246,            0.042836,            0.014223,            0.010227,            0.008145,            0.008145,            0.008145
                  92,            0.047688,             0.02536,           0.0047875,             0.72705,             0.59597,             0.64406,             0.32822,             0.04225,             0.01405,            0.010137,           0.0081068,           0.0081068,           0.0081068
                  93,            0.045064,            0.023937,           0.0039057,             0.69394,             0.61295,             0.63629,             0.34686,            0.044889,            0.014324,           0.0081079,           0.0080682,           0.0080682,           0.0080682
                  94,            0.046814,            0.023123,           0.0044165,             0.78562,             0.56812,             0.64874,             0.36271,            0.043326,            0.014074,            0.010371,           0.0080294,           0.0080294,           0.0080294
                  95,            0.046349,            0.024042,           0.0048263,             0.84113,             0.53737,             0.64824,             0.32738,            0.040837,            0.014098,           0.0094059,           0.0079903,           0.0079903,           0.0079903
                  96,            0.045816,            0.024401,           0.0055175,             0.64805,             0.59707,             0.64391,             0.33533,            0.040253,            0.013874,            0.011568,           0.0079509,           0.0079509,           0.0079509
                  97,            0.045026,             0.02343,            0.004439,             0.79126,             0.57205,             0.65618,             0.36657,            0.040987,            0.013811,            0.011309,           0.0079112,           0.0079112,           0.0079112
                  98,            0.045485,            0.024349,           0.0042808,             0.65634,             0.55037,             0.61314,             0.33586,            0.042727,            0.014222,            0.011948,           0.0078713,           0.0078713,           0.0078713
